status,eligible_for_model_training,purpose,venue_code,equipment_type,equipment_number,equipment_number_scope,official_generation_start_date,official_generation_end_date_if_known,evidence_level,evidence_ids,local_min_date,local_max_date,eligible_date_start,eligible_date_end,pre_boundary_policy,generation_key_candidate,materialization_status,requires_gate1_reaudit,candidate_id
provisional,false,official_evidence_import_sidecar_only,10,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-03-07,,B,EV015,2023-09-01,2026-07-18,2026-03-07,,exclude_from_generation_identity_until_separately_resolved,10_boat_{equipment_number}_20260307,planned_not_applied,true,GENCAND:10:boat:20260307
provisional,false,official_evidence_import_sidecar_only,10,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-03-07,,B,EV015,2023-09-01,2026-07-18,2026-03-07,,exclude_from_generation_identity_until_separately_resolved,10_motor_{equipment_number}_20260307,planned_not_applied,true,GENCAND:10:motor:20260307
provisional,false,official_evidence_import_sidecar_only,11,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-04-08,,A,EV016,2023-09-03,2026-07-18,2026-04-08,,exclude_from_generation_identity_until_separately_resolved,11_boat_{equipment_number}_20260408,planned_not_applied,true,GENCAND:11:boat:20260408
provisional,false,official_evidence_import_sidecar_only,11,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-08,,A,EV016,2023-09-03,2026-07-18,2026-04-08,,exclude_from_generation_identity_until_separately_resolved,11_motor_{equipment_number}_20260408,planned_not_applied,true,GENCAND:11:motor:20260408
provisional,false,official_evidence_import_sidecar_only,12,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-03-23,,A,EV018,2023-09-03,2026-07-18,2026-03-23,,exclude_from_generation_identity_until_separately_resolved,12_boat_{equipment_number}_20260323,planned_not_applied,true,GENCAND:12:boat:20260323
provisional,false,official_evidence_import_sidecar_only,12,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-03-23,,A,EV017,2023-09-03,2026-07-18,2026-03-23,,exclude_from_generation_identity_until_separately_resolved,12_motor_{equipment_number}_20260323,planned_not_applied,true,GENCAND:12:motor:20260323
provisional,false,official_evidence_import_sidecar_only,13,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-04-17,,A,EV020,2023-09-01,2026-07-18,2026-04-17,,exclude_from_generation_identity_until_separately_resolved,13_boat_{equipment_number}_20260417,planned_not_applied,true,GENCAND:13:boat:20260417
provisional,false,official_evidence_import_sidecar_only,13,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-17,,A,EV019,2023-09-01,2026-07-18,2026-04-17,,exclude_from_generation_identity_until_separately_resolved,13_motor_{equipment_number}_20260417,planned_not_applied,true,GENCAND:13:motor:20260417
provisional,false,official_evidence_import_sidecar_only,14,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-04-11,,A,EV022,2023-09-03,2026-07-13,2026-04-11,,exclude_from_generation_identity_until_separately_resolved,14_boat_{equipment_number}_20260411,planned_not_applied,true,GENCAND:14:boat:20260411
provisional,false,official_evidence_import_sidecar_only,14,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-11,,A,EV021,2023-09-03,2026-07-13,2026-04-11,,exclude_from_generation_identity_until_separately_resolved,14_motor_{equipment_number}_20260411,planned_not_applied,true,GENCAND:14:motor:20260411
provisional,false,official_evidence_import_sidecar_only,15,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-07-09,,A,EV024,2023-09-25,2026-07-14,2026-07-09,,exclude_from_generation_identity_until_separately_resolved,15_boat_{equipment_number}_20260709,planned_not_applied,true,GENCAND:15:boat:20260709
provisional,false,official_evidence_import_sidecar_only,15,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-09-03,,A,EV023,2023-09-25,2026-07-14,2025-09-03,,exclude_from_generation_identity_until_separately_resolved,15_motor_{equipment_number}_20250903,planned_not_applied,true,GENCAND:15:motor:20250903
provisional,false,official_evidence_import_sidecar_only,16,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-12-17,,A,EV025,2023-09-01,2026-07-18,2025-12-17,,exclude_from_generation_identity_until_separately_resolved,16_boat_{equipment_number}_20251217,planned_not_applied,true,GENCAND:16:boat:20251217
provisional,false,official_evidence_import_sidecar_only,16,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-12-17,,A,EV025,2023-09-01,2026-07-18,2025-12-17,,exclude_from_generation_identity_until_separately_resolved,16_motor_{equipment_number}_20251217,planned_not_applied,true,GENCAND:16:motor:20251217
provisional,false,official_evidence_import_sidecar_only,17,boat,,all numbers in the venue generation; materialize per observed number after date join,2024-10-20,2025-10-18,A,EV043,2023-09-03,2026-07-18,2024-10-20,2025-10-18,exclude_from_generation_identity_until_separately_resolved,17_boat_{equipment_number}_20241020,planned_not_applied,true,GENCAND:17:boat:20241020
provisional,false,official_evidence_import_sidecar_only,17,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-10-19,,A,EV026,2023-09-03,2026-07-18,2025-10-19,,exclude_from_generation_identity_until_separately_resolved,17_boat_{equipment_number}_20251019,planned_not_applied,true,GENCAND:17:boat:20251019
provisional,false,official_evidence_import_sidecar_only,17,motor,,all numbers in the venue generation; materialize per observed number after date join,2024-10-20,2025-10-18,A,EV043,2023-09-03,2026-07-18,2024-10-20,2025-10-18,exclude_from_generation_identity_until_separately_resolved,17_motor_{equipment_number}_20241020,planned_not_applied,true,GENCAND:17:motor:20241020
provisional,false,official_evidence_import_sidecar_only,17,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-10-19,,A,EV026,2023-09-03,2026-07-18,2025-10-19,,exclude_from_generation_identity_until_separately_resolved,17_motor_{equipment_number}_20251019,planned_not_applied,true,GENCAND:17:motor:20251019
provisional,false,official_evidence_import_sidecar_only,18,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-11-04,,A,EV028,2023-09-01,2026-07-18,2025-11-04,,exclude_from_generation_identity_until_separately_resolved,18_boat_{equipment_number}_20251104,planned_not_applied,true,GENCAND:18:boat:20251104
provisional,false,official_evidence_import_sidecar_only,18,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-20,,A,EV027,2023-09-01,2026-07-18,2026-04-20,,exclude_from_generation_identity_until_separately_resolved,18_motor_{equipment_number}_20260420,planned_not_applied,true,GENCAND:18:motor:20260420
provisional,false,official_evidence_import_sidecar_only,19,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-04-29,,A,EV030,2023-09-01,2026-07-13,2026-04-29,,exclude_from_generation_identity_until_separately_resolved,19_boat_{equipment_number}_20260429,planned_not_applied,true,GENCAND:19:boat:20260429
provisional,false,official_evidence_import_sidecar_only,19,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-29,,A,EV029,2023-09-01,2026-07-13,2026-04-29,,exclude_from_generation_identity_until_separately_resolved,19_motor_{equipment_number}_20260429,planned_not_applied,true,GENCAND:19:motor:20260429
provisional,false,official_evidence_import_sidecar_only,20,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-06-11,,A,EV032,2023-09-01,2026-07-18,2026-06-11,,exclude_from_generation_identity_until_separately_resolved,20_boat_{equipment_number}_20260611,planned_not_applied,true,GENCAND:20:boat:20260611
provisional,false,official_evidence_import_sidecar_only,20,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-11-26,,A,EV031,2023-09-01,2026-07-18,2025-11-26,,exclude_from_generation_identity_until_separately_resolved,20_motor_{equipment_number}_20251126,planned_not_applied,true,GENCAND:20:motor:20251126
provisional,false,official_evidence_import_sidecar_only,21,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-04-16,,A,EV034,2025-04-23,2026-07-18,2026-04-16,,exclude_from_generation_identity_until_separately_resolved,21_boat_{equipment_number}_20260416,planned_not_applied,true,GENCAND:21:boat:20260416
provisional,false,official_evidence_import_sidecar_only,21,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-04-16,,A,EV033,2023-09-07,2026-07-18,2026-04-16,,exclude_from_generation_identity_until_separately_resolved,21_motor_{equipment_number}_20260416,planned_not_applied,true,GENCAND:21:motor:20260416
provisional,false,official_evidence_import_sidecar_only,22,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-02-18,,A,EV035,2023-09-01,2026-07-15,2026-02-18,,exclude_from_generation_identity_until_separately_resolved,22_boat_{equipment_number}_20260218,planned_not_applied,true,GENCAND:22:boat:20260218
provisional,false,official_evidence_import_sidecar_only,22,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-02-18,,A,EV035,2023-09-01,2026-07-15,2026-02-18,,exclude_from_generation_identity_until_separately_resolved,22_motor_{equipment_number}_20260218,planned_not_applied,true,GENCAND:22:motor:20260218
provisional,false,official_evidence_import_sidecar_only,23,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-03-17,,A,EV037,2023-09-01,2026-07-15,2026-03-17,,exclude_from_generation_identity_until_separately_resolved,23_boat_{equipment_number}_20260317,planned_not_applied,true,GENCAND:23:boat:20260317
provisional,false,official_evidence_import_sidecar_only,23,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-09-05,,A,EV036,2023-09-01,2026-07-15,2025-09-05,,exclude_from_generation_identity_until_separately_resolved,23_motor_{equipment_number}_20250905,planned_not_applied,true,GENCAND:23:motor:20250905
provisional,false,official_evidence_import_sidecar_only,24,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-05-24,,B,EV038,2023-09-01,2026-07-17,2026-05-24,,exclude_from_generation_identity_until_separately_resolved,24_boat_{equipment_number}_20260524,planned_not_applied,true,GENCAND:24:boat:20260524
provisional,false,official_evidence_import_sidecar_only,24,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-05-24,,A,EV039;EV038,2023-09-01,2026-07-17,2026-05-24,,exclude_from_generation_identity_until_separately_resolved,24_motor_{equipment_number}_20260524,planned_not_applied,true,GENCAND:24:motor:20260524
