status,eligible_for_model_training,purpose,evidence_batch_id,venue_code,equipment_type,local_period_start,local_period_end,package_resolution_status,evidence_level,current_boundary_status,full_period_coverage,unresolved_history_present,official_evidence_ids,local_match_status,notes
provisional,false,official_evidence_import_sidecar_only,EBATCH:06:boat:99be39893377,06,boat,2023-09-01,2026-07-15,official_evidence_partial,A,A,false,true,EV009,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:06:motor:f814297a44fc,06,motor,2023-09-01,2026-07-15,official_evidence_partial,A,A,false,true,EV008,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:07:boat:ad4f5e5feeba,07,boat,2023-09-01,2026-07-18,official_evidence_found_full_period,A,A,true,false,EV010;EV042,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:07:motor:19b8135bc000,07,motor,2023-09-01,2026-07-18,official_evidence_found_full_period,A,A,true,false,EV010;EV042,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:08:boat:a724bab64dd6,08,boat,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV012,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:08:motor:ef58f45086c9,08,motor,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV011,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:09:boat:fe78c723dc71,09,boat,2023-12-16,2026-07-18,official_evidence_partial,A,A,false,true,EV014,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:09:motor:2b2605fc4a34,09,motor,2023-12-16,2026-07-18,official_evidence_partial,A,A,false,true,EV013,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:10:boat:8b35898c046d,10,boat,2023-09-01,2026-07-18,official_evidence_partial,B,B,false,true,EV015,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:10:motor:b7c66cd9769f,10,motor,2023-09-01,2026-07-18,official_evidence_partial,B,B,false,true,EV015,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:11:boat:f1cec0ab6f72,11,boat,2023-09-03,2026-07-18,official_evidence_partial,A,A,false,true,EV016,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:11:motor:28395480d127,11,motor,2023-09-03,2026-07-18,official_evidence_partial,A,A,false,true,EV016,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:12:boat:6c2a3a5379c7,12,boat,2023-09-03,2026-07-18,official_evidence_partial,A,A,false,true,EV018,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:12:motor:d70b31025705,12,motor,2023-09-03,2026-07-18,official_evidence_partial,A,A,false,true,EV017,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:13:boat:42621e2fe40d,13,boat,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV020,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:13:motor:d240f24e683e,13,motor,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV019,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:14:boat:0af68bcf49fb,14,boat,2023-09-03,2026-07-13,official_evidence_partial,A,A,false,true,EV022,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:14:motor:8c70a52707a0,14,motor,2023-09-03,2026-07-13,official_evidence_partial,A,A,false,true,EV021,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:15:boat:c03bca866a39,15,boat,2023-09-25,2026-07-14,official_evidence_partial,A,A,false,true,EV024,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:15:motor:a33d71edc25a,15,motor,2023-09-25,2026-07-14,official_evidence_partial,A,A,false,true,EV023,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:16:boat:f682d842f4c2,16,boat,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV025,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:16:motor:02400f103ec9,16,motor,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV025,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:17:boat:9681773850c1,17,boat,2023-09-03,2026-07-18,official_evidence_partial,A,A,false,true,EV026;EV043,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:17:motor:27ed24fcff06,17,motor,2023-09-03,2026-07-18,official_evidence_partial,A,A,false,true,EV026;EV043,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:18:boat:05fc72644e85,18,boat,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV028,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:18:motor:8e767b3a1c95,18,motor,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV027,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:19:boat:db8900ddf085,19,boat,2023-09-01,2026-07-13,official_evidence_partial,A,A,false,true,EV030,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:19:motor:541b3494cd16,19,motor,2023-09-01,2026-07-13,official_evidence_partial,A,A,false,true,EV029,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:20:boat:7bf6fc12ca7e,20,boat,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV032,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:20:motor:a8f76e35a50b,20,motor,2023-09-01,2026-07-18,official_evidence_partial,A,A,false,true,EV031,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:21:boat:40fafd94d0e0,21,boat,2023-09-07,2026-07-18,official_evidence_partial,A,A,false,true,EV034,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:21:motor:6579257cb563,21,motor,2023-09-07,2026-07-18,official_evidence_partial,A,A,false,true,EV033,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:22:boat:a0c2dfae3003,22,boat,2023-09-01,2026-07-15,official_evidence_partial,A,A,false,true,EV035,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:22:motor:9ea47ee47eca,22,motor,2023-09-01,2026-07-15,official_evidence_partial,A,A,false,true,EV035,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:23:boat:98cf8cfbc0fd,23,boat,2023-09-01,2026-07-15,official_evidence_partial,A,A,false,true,EV037,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:23:motor:0c2bc574b866,23,motor,2023-09-01,2026-07-15,official_evidence_partial,A,A,false,true,EV036,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:24:boat:7bbf9ec928d9,24,boat,2023-09-01,2026-07-17,official_evidence_partial,B,B,false,true,EV038,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
provisional,false,official_evidence_import_sidecar_only,EBATCH:24:motor:2380d2b68852,24,motor,2023-09-01,2026-07-17,official_evidence_partial,A,A,false,true,EV038;EV039,matched,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.
