feature_name,feature_tier,source_table,source_field,source_observed_at_rule,semantic_available_at_rule,physical_capture_status,calculation_window,calculation_cutoff,max_source_event_at_rule,inference_allowed,null_count,null_rate,future_leakage_risk,provenance_status,audit_result
racer_name,safe_core,raw_program_json,racer_name,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
racer_age,safe_core,raw_program_json,racer_age,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
racer_branch_number,safe_core,raw_program_json,racer_branch_number,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
racer_class_number,safe_core,raw_program_json,racer_class_number,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
average_start_timing,safe_core,raw_program_json,average_start_timing,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,361117,0.28254293887157145,none,verified_pre_race_source,pass
national_top_1_percent,safe_core,raw_program_json,national_top_1_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
national_top_2_percent,safe_core,raw_program_json,national_top_2_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
national_top_3_percent,safe_core,raw_program_json,national_top_3_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,343890,0.26906429563976414,none,verified_pre_race_source,pass
local_top_1_percent,safe_core,raw_program_json,local_top_1_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
local_top_2_percent,safe_core,raw_program_json,local_top_2_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
local_top_3_percent,safe_core,raw_program_json,local_top_3_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,343890,0.26906429563976414,none,verified_pre_race_source,pass
motor_no,safe_core,raw_program_json,motor_no,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
motor_top_2_percent,safe_core,raw_program_json,motor_top_2_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
motor_top_3_percent,safe_core,raw_program_json,motor_top_3_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,343890,0.26906429563976414,none,verified_pre_race_source,pass
boat_no,safe_core,raw_program_json,boat_no,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
boat_top_2_percent,safe_core,raw_program_json,boat_top_2_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
boat_top_3_percent,safe_core,raw_program_json,boat_top_3_percent,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,343890,0.26906429563976414,none,verified_pre_race_source,pass
program_weight,safe_core,raw_program_json,program_weight,archived official pre-race source displayed before race close,official pre-race program snapshot,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
body_weight,safe_core,raw_beforeinfo_html,body_weight,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
weight_adjustment,safe_core,raw_beforeinfo_html,weight_adjustment,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
exhibition_course,safe_core,raw_beforeinfo_html,exhibition_course,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
exhibition_start_timing,safe_core,raw_beforeinfo_html,exhibition_start_timing,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
exhibition_time,safe_core,raw_beforeinfo_html,exhibition_time,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
tilt,safe_core,raw_beforeinfo_html,tilt,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
propeller_new,safe_core,raw_beforeinfo_html,propeller_new,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
propeller_status,safe_core,raw_beforeinfo_html,propeller_status,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
parts_exchange_status,safe_core,raw_beforeinfo_html,parts_exchange_status,archived official pre-race source displayed before race close,official pre-race beforeinfo display,archived original captured after event; semantic field is pre-race,direct source snapshot; no historical reconstruction,race closed_at,must be no later than race closed_at,True,0,0.0,none,verified_pre_race_source,pass
