hypothesis_id,canonical_role,canonical_parent_id,decision_program_id,required_universe_flags,required_feature_sets,required_targets,required_equipment_scope,required_temporal_scope,data_available_at_gate1,gate1_execution_status,activation_wave,prerequisite_hypotheses,blocking_reason_codes,allowed_training_scope,formal_registry_mutated,model_training_allowed_after_full_gate1,notes
H027,formal_top_level,,,U0_primary_supervised,RF_LATENT_COURSE_ST,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H024;H025;H026,,design_only_no_training,False,False,Formal registry read-only.
H028,formal_top_level,,,U0_primary_supervised,RF_TEACHER_PROBABILITIES,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H016;H019;H021,,design_only_no_training,False,False,Formal registry read-only.
H029,formal_top_level,,,U0_primary_supervised,RF_CURRENT_V01_49,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H030,formal_top_level,,,U0_primary_supervised,RF_OFFICIAL_TEXT,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H015,,design_only_no_training,False,False,Formal registry read-only.
H031,formal_top_level,,,U0_primary_supervised,RF_EXHIBITION_VIDEO,TARGET_TOP3,,temporal_provenance_verified,partial_or_not_materialized,ready_after_asof_feature_materialization,wave1,H012,temporal_provenance_not_materialized,design_only_no_training,False,False,Formal registry read-only.
H032,formal_top_level,,,U0_primary_supervised,RF_ORIGINAL_EXHIBITION,TARGET_TOP3,,temporal_provenance_verified,partial_or_not_materialized,ready_after_asof_feature_materialization,wave1,H012,temporal_provenance_not_materialized,design_only_no_training,False,False,Formal registry read-only.
H033,formal_top_level,,,U0_primary_supervised,RF_SOURCE_REGIME,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,H004,,design_only_no_training,False,False,Formal registry read-only.
H034,variant,H012,CDP-A01,U0_primary_supervised,,TARGET_TOP3,,temporal_provenance_verified,partial_or_not_materialized,ready_after_asof_feature_materialization,wave1,,temporal_provenance_not_materialized,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H035,additional_top_level_candidate,H035,CDP-A01,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H036,variant,H017,CDP-A02,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H037,variant,H019,CDP-A03,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H038,variant,H018,CDP-A02,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H039,variant,H015,CDP-A04,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H040,variant,H022,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H041,additional_top_level_candidate,H041,CDP-A05,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H042,variant,H007,CDP-A07,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H043,additional_top_level_candidate,H043,,U2_auxiliary_pretraining,,TARGET_AUXILIARY,,,safe_core_49,ready_auxiliary_only,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H044,variant,H029,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H045,additional_top_level_candidate,H045,CDP-A06,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H046,variant,H021,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H047,variant,H022,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H048,variant,H010,CDP-A03,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H049,additional_top_level_candidate,H049,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H050,variant,H021,CDP-A08,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H051,variant,H050,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H052,variant,H045,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H053,variant,H026,CDP-A09,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H054,variant,H017,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H055,additional_top_level_candidate,H055,CDP-A09,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H056,variant,H019,CDP-A03,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H057,variant,H019,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H058,variant,H025,CDP-A10,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H059,variant,H022,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H060,variant,H047,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H061,additional_top_level_candidate,H049,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H062,additional_top_level_candidate,H043,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H063,variant,H021,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H064,variant,H019,CDP-A11,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H065,variant,H023,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H066,variant,H004,CDP-A12,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H067,variant,H066,CDP-A12,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H068,variant,H001,CDP-A12,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H069,variant,H003,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H070,variant,H027,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H071,variant,H027,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H072,variant,H027,CDP-A10,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H073,variant,H020,CDP-A02,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H074,variant,H020,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H075,variant,H020,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H076,variant,H047,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H077,variant,H007,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H078,additional_top_level_candidate,H040,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H079,variant,H023,CDP-A13,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H080,variant,H049,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H081,additional_top_level_candidate,H081,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H082,additional_top_level_candidate,H039,CDP-A04,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H083,variant,H068,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H084,variant,H016,CDP-A07,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H085,variant,H016,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H086,additional_top_level_candidate,H086,CDP-A14,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H087,variant,H023,CDP-A15,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H088,variant,H021,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H089,variant,H064,CDP-A11,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H090,variant,H013,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H091,variant,H027,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H092,additional_top_level_candidate,H092,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H093,variant,H047,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H094,variant,H028,CDP-A13,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H095,variant,H015,CDP-A15,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H096,variant,H044,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H097,variant,H064,CDP-A11,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H098,variant,H019,CDP-A03,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H099,additional_top_level_candidate,H019,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H100,variant,H086,CDP-A14,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H101,additional_top_level_candidate,H049,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H102,variant,H019,CDP-A15,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H103,variant,H019,CDP-A15,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H104,variant,H043,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H105,variant,H043,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H106,variant,H021,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H107,variant,H046,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H108,variant,H023,CDP-A13,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,ready_safe_core,wave1,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
H109,additional_top_level_candidate,H109,,U0_primary_supervised,,TARGET_TOP3,,,safe_core_49,conditional_on_oracle_result,wave2,,,design_only_no_training,False,False,Source-preserved addendum; not merged into formal registry.
