status,eligible_for_model_training,purpose,hypothesis_id,family,proposed_tier,title,parent_hypothesis_ids,summary,minimal_comparison,key_risk,primary_metric_contract,formalization_status,source
proposed_addendum_unregistered,False,research_hypothesis_design_only,H044,partial_label,conditional,部分ラベル・多品質学習,H029,同着・異常結果・Gold未満レースを一意one-hotに潰さず、集合尤度や品質別ノイズモデルで利用する。,Gold uniqueのみとの比較。,品質差のモデル化が誤ると主学習を汚染する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H045,cold_start,core_addendum,コールドスタート階層モデル,H001|H004|H021,新人・履歴不足選手・新機材を級・支部・場・全体平均へ部分プーリングし、能力不確実性を保持する。,ID embedding、単純平均補完との比較。,階層定義が不適切だと過度に平均へ寄せる。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H046,temporal_graph,conditional,時系列主体グラフメモリ,H021|H010|H011,選手・モーター・ボート・場を動的グラフの主体として、レースイベントごとにmemoryを更新する。,主体別rolling／RNNとの比較。,複雑性と世代ID依存が大きい。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H047,robust_generalization,conditional,場・時代横断ロバスト学習,H022|H021,場・年度で変わる相関への依存を抑え、未来期間でも維持される表現を学習する。,通常ERM、場別adapterとの比較。,不変性仮定が誤ると有用な場固有信号を消す。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H048,pairwise_reconstruction,core_addendum,15ペア勝敗→120通り再構成モデル,H010|H018|H019,6艇15ペアの勝敗確率を学び、整合制約付きでTop-3の120分布へ再構成する。,直接120、Plackett–Luceとの比較。,ペア確率が非推移的になり、射影誤差が生じる。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H049,uncertainty,conditional,確率分布そのものの不確実性モデル,H023|H021,120個の点確率に加え、モデル間・重み・潜在状態による確率分布の不確実性を推定する。,Softmax、Deep Ensembleとの比較。,不確実性指標が真の誤差と対応しない可能性。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H050,continuous_time_state,core_addendum,連続時間・主体別状態空間モデル,H021|H001|H005,不規則な出走間隔を考慮し、選手・機材の潜在状態を連続時間で減衰・更新する。,rolling特徴、GRUとの比較。,状態推定が複雑で識別しにくい。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H051,regime_switching,conditional,変化点付きレジーム切替状態モデル,H050|H002|H005,滑らかな能力変化だけでなく、部品交換・休養・F保有等による急な潜在レジーム切替を許す。,H050の滑らかな状態遷移との比較。,レジームが過剰分割される。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H052,meta_learning,conditional,少数履歴から能力分布を作るメタ学習,H045|H001|H004,少数の過去イベント集合から現在能力の事後分布を推定し、新人・新機材へ迅速適応する。,階層縮約、通常embeddingとの比較。,episode設計が実運用分布と合わない。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H053,multi_task_optimization,core_addendum,補助教師間の勾配衝突制御,H026|H029,進入・ST・決まり手等の補助損失が主損失と競合する際、PCGrad・GradNorm等で干渉を抑える。,固定loss weightとの比較。,勾配制御が主タスクの有用な共有を弱める。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H054,curriculum,conditional,1着→二連単→三連単の段階学習,H015|H017|H020,1着・Top-3集合・二連単等の易しい課題から表現を学び、最後に三連単へfine-tuneする。,最初から三連単end-to-endとの比較。,前段課題へ表現が固定される。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H055,multi_view,core_addendum,複数情報ビューの整合学習,H016|H019|H012,履歴、環境、展示、全情報を別branchで予測し、役割を保ちながら確率整合を学ぶ。,全特徴一括入力との比較。,過度な整合制約が展示の新情報を消す。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H056,tensor_factorization,core_addendum,低ランク・テンソル分解型三連単スコアラー,H019|H042,1着・2着・3着の役割項、ペア項、低ランク三艇項を合成して120候補を共有採点する。,独立120 head、共有MLPスコアラーとの比較。,低ランク制約が高次展開を欠落させる。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H057,contrastive,exploratory,同一レース内ハードネガティブ対比学習,H019|H015,同じ集合・同じ1着等の紛らわしい不正解候補を補助的に分離する。,Log Loss単独との比較。,順位分離を強めすぎて確率校正を壊す。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H058,st_distribution,core_addendum,6艇STの相関分布モデル,H025|H027,艇別独立STでなく、レース共通・スロー／ダッシュ共通ショックを含む6次元ST分布を予測する。,独立Gaussian ST、点予測との比較。,相関分布の推定誤差がTop-3へ伝播する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H059,hypernetwork,conditional,場・環境条件で重みを変えるHypernetwork,H022|H011,場・気象・グレードから小型adapterやheadの重みを生成し、共通学習と専門化を両立する。,venue embedding、場別adapterとの比較。,自由度が高く場固有過学習しやすい。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H060,group_robust,conditional,場・期間・グレードGroup-Robust学習,H047|H022,平均損失だけでなく、事前定義groupの最悪損失や分散を抑える。,通常ERMとの比較。,全体Log Lossを犠牲にする可能性。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H061,evidential,exploratory,Dirichlet型の二階確率・証拠モデル,H049,三連単確率に対するDirichlet分布を出し、期待確率と証拠量を推定する。,Softmax、Deep Ensembleとの比較。,証拠量が真の不確実性を反映しない。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H062,predictive_pretraining,conditional,次走・数走先を予測する自己教師あり学習,H043|H021,現在の主体状態から次走ST・進入・Top-3等を予測し、将来予測に有用な履歴表現を事前学習する。,masked-feature事前学習、教師あり学習との比較。,将来課題が最終レース予測とずれる。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H063,representation_disentanglement,conditional,長期能力と短期状態の分離正則化,H001|H002|H021,安定した能力embeddingと短期変動embeddingの役割重複を制約で抑える。,単純加算embeddingとの比較。,分離制約が実際の相互依存を壊す。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H064,residual_modeling,core_addendum,統計モデル＋ニューラル残差モデル,H018|H019|H016,安定した無オッズ統計／順位logitを基礎とし、ニューラルは複雑な残差だけを学ぶ。,純統計、純ニューラルとの比較。,基礎モデルの偏りを残差で回収できない場合がある。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H065,dynamic_ensemble,conditional,レースごとの動的アンサンブルゲート,H023|H022,場・能力差・不確実性等からモデル重みをレースごとに変更する。,単純平均、固定重みとの比較。,ゲートが過学習し極端なモデル選択を行う。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H066,causal_equipment,core_addendum,抽選割当を利用した機材効果分離,H004|H005|H007,同一開催内のモーター・ボート抽選構造を利用し、選手力と機材効果の混同を抑える。,通常embedding・公式率との比較。,割当が分析上十分に無作為でない可能性。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H067,orthogonalization,core_addendum,Cross-fitting型・直交化機材効果学習,H066|H004|H005,選手・枠等で予測したOOF残差を機材で説明し、機材効果推定を直交化する。,通常joint学習との比較。,第1段階誤差や残差定義に敏感。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H068,hierarchical_bayes,core_addendum,交差階層ベイズ統合戦力モデル,H001|H004|H005|H008,選手・モーター・ボート・場・コース・相互作用を部分プーリングして能力分布を推定する。,固定効果、ID embeddingとの比較。,計算負荷とモデル識別性。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H069,context_surface,conditional,文脈依存能力曲面モデル,H003|H008|H022,選手・機材能力を場・コース・風・グレード等の連続／カテゴリ文脈関数として表す。,単一能力値、低ランク交互作用との比較。,データの薄い文脈で不安定。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H070,probabilistic_circuit,conditional,厳密推論可能な確率回路・因子グラフ,H027|H019,進入・ST・展開・着順を因子分解し、可能な範囲で潜在状態を厳密周辺化する。,直接Softmax、Monte Carlo周辺化との比較。,構造仮定が強すぎる可能性。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H071,simulation,conditional,潜在レース生成シミュレーター,H027|H024|H025,進入・ST・展開・潜在走力を多数生成し、シミュレーション頻度から120確率を作る。,直接モデルとの比較。,中間生成過程の誤指定・高計算量。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H072,latent_performance,core_addendum,6艇相関・潜在パフォーマンス分布,H058|H027|H011,ST以後も含む当日パフォーマンスを6次元相関分布として生成し順位化する。,独立効用・直接Softmaxとの比較。,潜在量の識別が難しい。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H073,assignment_model,core_addendum,6×6位置割当モデル,H020|H015,艇×着順の6×6スコア行列から720完全順位を厳密列挙し、Top-3へ周辺化する。,120直接、自己回帰との比較。,下位順位学習が主目的を希釈する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H074,permutation_code,exploratory,Lehmer code・Insertion Vector型順列モデル,H020|H017,完全順位またはTop-3を別の一対一順列コードで自己回帰生成する。,1着→2着→3着分解との比較。,コード順序が不自然な帰納バイアスを持つ。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H075,permutation_diffusion,exploratory,順列Diffusion・Flow Matching,H020|H037,順列全体を反復更新して多峰な順位分布を生成する。,直接120 Softmax、順列codeとの比較。,120候補の小問題に対して過剰設計。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H076,invariant_learning,conditional,場・時代を越える不変メカニズム学習,H047|H022|H021,場・年度を当てにくい共有表現と環境固有残差を分け、分布変化へ耐える。,通常ERM、adapterとの比較。,環境差に含まれる有用信号を消す。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H077,counterfactual_consistency,conditional,選手・機材入替え反実仮想整合学習,H007|H066,機材を仮想交換した表現へ可逆性・役割分離の整合制約を掛ける。,通常end-to-endとの比較。,未観測反実仮想の仮定が誤る。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H078,bayesian_nonparametric,exploratory,ベイズノンパラメトリック・レース型モデル,H040|H022,潜在レース型の数を固定せず、データ・時代に応じて増減させる。,固定K MoEとの比較。,推論不安定・専門家増殖。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H079,stacking,core_addendum,予測分布Stacking,H023,OOF対数スコアを最大化する非負重みで異種モデルの予測分布を統合する。,単純平均、固定logit平均との比較。,候補モデル数が多いと重みが検証期間へ過適合。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H080,missing_marginalization,conditional,欠損特徴の厳密周辺化モデル,H045|H049,欠損を一点補完せず、観測特徴条件付きの欠損分布を積分して予測する。,補完＋欠損フラグとの比較。,欠損モデルの誤指定。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H081,causal_modular,conditional,因果グラフ制約付きモジュールモデル,H027|H019|H001|H005,選手・機材・展示・進入・ST・結果の明らかに不可能な情報経路を構造的に禁止する。,全特徴自由結合、弱制約、強固定DAGとの比較。,誤った因果制約で性能を落とす。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H082,consistency_projection,core_addendum,複数粒度予測の厳密確率整合・射影,H039|H015|H017,専門モデルの1着・二連単・Top-3集合・三連単確率を、整合した120分布へKL射影する。,三連単単独、soft consistencyとの比較。,弱い周辺モデルへ合わせると悪化。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H083,shape_constraint,conditional,潜在戦力への形状制約・単調制約,H068|H069,分離済み潜在能力に限定して単調・逓減・補完等の形状制約を適用する。,制約なしモデルとの比較。,制約が現実の非単調性を否定する。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H084,neural_additive,core_addendum,Neural Additive＋選択的相互作用モデル,H016|H042,非線形主効果を加算で分離し、事前選択または学習された少数相互作用だけを追加する。,CatBoost、大型Transformerとの比較。,重要な高次相互作用を落とす。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H085,gbdt_shrinkage,conditional,GBDTの階層的縮約,H016,少数例の深い葉予測を親ノード側へ信頼度に応じて縮約する。,通常CatBoost、浅い木、強正則化との比較。,縮約が有用な局所パターンを消す。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H086,hierarchical_calibration,core_addendum,場・グレード・時期の階層的確率校正,H022|H023,全体校正を基礎に場・グレード・時期別補正を部分プーリングする。,global temperature、個別校正との比較。,校正期間不足・group過学習。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H087,weight_averaging,core_addendum,SWA／SWAGによる重み空間平均,H023|H049,学習後半のcheckpoint平均または低ランク重み分布から予測平均を作る。,best checkpoint、Deep Ensembleとの比較。,学習軌跡が単一モードを十分覆わない。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H088,multi_window,conditional,複数時間窓モデルの同時利用,H021|H002,全履歴・直近3年・1年・6か月・時間減衰モデルを独立学習して統合する。,単一expanding／rolling windowとの比較。,モデル数増加による選択過学習。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H089,evidence_adaptive_shrinkage,core_addendum,証拠量に応じた統計事前分布への縮約,H064|H045|H049,履歴量・OOD度・モデル不一致に応じてニューラル残差の強さを変え、必要時は統計基礎へ戻す。,固定残差強度との比較。,縮約ゲートが誤ると有効補正を抑える。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H090,venue_day_filter,conditional,逐次更新型venue-day潜在状態フィルター,H013|H014,当日過去レースと気象からイン有利度・ST尺度等の潜在水面状態を逐次更新する。,手作業venue-day集計との比較。,Point-in-Time利用可能性と状態誤推定。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H091,physics_hybrid,conditional,1マーク物理過程＋ニューラル残差,H027|H024|H025,進入・相関ST・加速・旋回能力から1マーク中間状態を簡易生成し、残差でTop-3を補正する。,純ニューラル、純生成との比較。,簡易物理仮定が誤る。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H092,measurement_error,conditional,観測誤差込み潜在特徴モデル,H012|H049,公式率・展示・気象を潜在状態のノイズ付き観測として扱い、標本数・source別に不確実性を推定する。,観測値を真値扱いするモデルとの比較。,観測誤差分布を識別できない。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H093,robust_augmentation,conditional,現実的な特徴摂動による頑健学習,H047|H012,場別計測誤差・丸め・欠損など実データ由来の摂動で訓練する。,摂動なし、一般Gaussian noiseとの比較。,実信号を損なう過度な摂動。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H094,self_distillation,core_addendum,通常モデルensembleからの自己蒸留,H028|H023,実運用可能な複数OOFモデルのsoft分布をstudentへ蒸留する。,teacher ensemble、hard-label studentとの比較。,studentが多様性を圧縮しすぎる。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H095,proper_scoring,core_addendum,Log Loss＋Brierのproper-score複合学習,H015,主評価はLog Lossのまま、学習時に少量の多クラスBrierを補助し極端logitを抑える。,Log Loss単独との比較。,Brier重みが大きいと主評価を悪化。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H096,robust_likelihood,exploratory,微小ラベル汚染を仮定する頑健尤度,H044|H029,警告付きデータに限り微小汚染率を仮定した混合尤度を比較する。,通常尤度との比較。,難しい正例をノイズ扱いする危険。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H097,sequential_boosting,core_addendum,Cross-fitted逐次logit boosting,H064|H016|H019|H021,統計→GBDT→関係モデル→時系列モデルの順にOOF残差logitを学習する。,独立学習平均、単一残差との比較。,段階誤差伝播と複雑なCross-fitting。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H098,label_graph,core_addendum,三連単120クラスの出力ラベルグラフ,H019|H039|H056,同じ1着・二連単・集合・一艇置換等の関係をedge typeとして120ラベル間message passingする。,ラベルグラフなし共有スコアラーとの比較。,過度な平滑化で順序差をぼかす。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
proposed_addendum_unregistered,False,research_hypothesis_design_only,H099,label_embedding,conditional,三連単の合成ラベル埋め込み・疎符号化,H036|H039|H056,三連単ラベルを1着・2着・3着・集合・ペア順序の合成埋め込みで表現する。,one-hot label、集合→順序分解との比較。,符号化の帰納バイアスが誤る。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,not_yet_imported_to_local_research_registry,"ChatGPT conversation addendum, July 2026"
