status,eligible_for_model_training,purpose,hypothesis_id,title,classification,related_existing_hypothesis_ids,related_addendum_hypothesis_ids,proposed_review_action,review_basis,formal_registry_action
provisional,false,hypothesis_addendum_sidecar_review_only,H045,コールドスタート階層モデル,new_distinct_hypothesis,H001;H004;H021,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H046,時系列主体グラフメモリ,variant_of_existing,H021;H010;H011,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H047,場・時代横断ロバスト学習,variant_of_existing,H022;H021,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H048,15ペア勝敗→120通り再構成モデル,variant_of_existing,H010;H018;H019,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H049,確率分布そのものの不確実性モデル,new_distinct_hypothesis,H023;H021,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H050,連続時間・主体別状態空間モデル,variant_of_existing,H021;H001;H005,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H051,変化点付きレジーム切替状態モデル,variant_of_existing,H002;H005,H050,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H052,少数履歴から能力分布を作るメタ学習,variant_of_existing,H001;H004,H045,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H053,補助教師間の勾配衝突制御,variant_of_existing,H026;H029,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H054,1着→二連単→三連単の段階学習,variant_of_existing,H015;H017;H020,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H055,複数情報ビューの整合学習,new_distinct_hypothesis,H016;H019;H012,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H056,低ランク・テンソル分解型三連単スコアラー,variant_of_existing,H019,H042,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H057,同一レース内ハードネガティブ対比学習,variant_of_existing,H019;H015,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H058,6艇STの相関分布モデル,variant_of_existing,H025;H027,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H059,場・環境条件で重みを変えるHypernetwork,variant_of_existing,H022;H011,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H060,場・期間・グレードGroup-Robust学習,variant_of_existing,H022,H047,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H061,Dirichlet型の二階確率・証拠モデル,merge_candidate,,H049,retain_source_id_and_record_future_merge_discussion_only,近接する追加仮説と目的・表現が重なるため、採択せず将来の統合比較候補として記録する。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H062,次走・数走先を予測する自己教師あり学習,merge_candidate,H021,H043,retain_source_id_and_record_future_merge_discussion_only,近接する追加仮説と目的・表現が重なるため、採択せず将来の統合比較候補として記録する。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H063,長期能力と短期状態の分離正則化,variant_of_existing,H001;H002;H021,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H064,統計モデル＋ニューラル残差モデル,variant_of_existing,H018;H019;H016,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H065,レースごとの動的アンサンブルゲート,variant_of_existing,H023;H022,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H066,抽選割当を利用した機材効果分離,variant_of_existing,H004;H005;H007,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H067,Cross-fitting型・直交化機材効果学習,variant_of_existing,H004;H005,H066,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H068,交差階層ベイズ統合戦力モデル,variant_of_existing,H001;H004;H005;H008,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H069,文脈依存能力曲面モデル,variant_of_existing,H003;H008;H022,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H070,厳密推論可能な確率回路・因子グラフ,variant_of_existing,H027;H019,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H071,潜在レース生成シミュレーター,variant_of_existing,H027;H024;H025,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H072,6艇相関・潜在パフォーマンス分布,variant_of_existing,H027;H011,H058,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H073,6×6位置割当モデル,variant_of_existing,H020;H015,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H074,Lehmer code・Insertion Vector型順列モデル,variant_of_existing,H020;H017,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H075,順列Diffusion・Flow Matching,variant_of_existing,H020,H037,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H076,場・時代を越える不変メカニズム学習,variant_of_existing,H022;H021,H047,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H077,選手・機材入替え反実仮想整合学習,variant_of_existing,H007,H066,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H078,ベイズノンパラメトリック・レース型モデル,merge_candidate,H022,H040,retain_source_id_and_record_future_merge_discussion_only,近接する追加仮説と目的・表現が重なるため、採択せず将来の統合比較候補として記録する。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H079,予測分布Stacking,variant_of_existing,H023,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H080,欠損特徴の厳密周辺化モデル,variant_of_existing,,H045;H049,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H081,因果グラフ制約付きモジュールモデル,new_distinct_hypothesis,H027;H019;H001;H005,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H082,複数粒度予測の厳密確率整合・射影,merge_candidate,H015;H017,H039,retain_source_id_and_record_future_merge_discussion_only,近接する追加仮説と目的・表現が重なるため、採択せず将来の統合比較候補として記録する。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H083,潜在戦力への形状制約・単調制約,variant_of_existing,,H068;H069,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H084,Neural Additive＋選択的相互作用モデル,variant_of_existing,H016,H042,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H085,GBDTの階層的縮約,variant_of_existing,H016,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H086,場・グレード・時期の階層的確率校正,new_distinct_hypothesis,H022;H023,,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H087,SWA／SWAGによる重み空間平均,variant_of_existing,H023,H049,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H088,複数時間窓モデルの同時利用,variant_of_existing,H021;H002,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H089,証拠量に応じた統計事前分布への縮約,variant_of_existing,,H064;H045;H049,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H090,逐次更新型venue-day潜在状態フィルター,variant_of_existing,H013;H014,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H091,1マーク物理過程＋ニューラル残差,variant_of_existing,H027;H024;H025,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H092,観測誤差込み潜在特徴モデル,new_distinct_hypothesis,H012,H049,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H093,現実的な特徴摂動による頑健学習,variant_of_existing,H012,H047,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H094,通常モデルensembleからの自己蒸留,variant_of_existing,H028;H023,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H095,Log Loss＋Brierのproper-score複合学習,variant_of_existing,H015,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H096,微小ラベル汚染を仮定する頑健尤度,variant_of_existing,H029,H044,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H097,Cross-fitted逐次logit boosting,variant_of_existing,H016;H019;H021,H064,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H098,三連単120クラスの出力ラベルグラフ,variant_of_existing,H019,H039;H056,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H099,三連単の合成ラベル埋め込み・疎符号化,merge_candidate,,H036;H039;H056;H098,retain_source_id_and_record_future_merge_discussion_only,近接する追加仮説と目的・表現が重なるため、採択せず将来の統合比較候補として記録する。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H100,艇番号置換に同変な構造化校正器,variant_of_existing,,H086;H039,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H101,PAC-Bayes型の事後予測分布,merge_candidate,,H049;H087,retain_source_id_and_record_future_merge_discussion_only,近接する追加仮説と目的・表現が重なるため、採択せず将来の統合比較候補として記録する。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H102,Sharpness-Awareな確率モデル学習,variant_of_existing,H019,H087,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H103,R-Drop型120確率整合正則化,variant_of_existing,H019;H023,,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H104,ボートレース構造を保つMixup,variant_of_existing,,H043;H055,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H105,高信頼疑似ラベルによる半教師あり学習,variant_of_existing,,H043;H044,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H106,Marked Temporal Point Process主体状態モデル,variant_of_existing,H021,H050,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H107,6艇レース・時系列ハイパーグラフ,variant_of_existing,H011;H021,H046,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H108,Cross-fitted苦手レース専門家,variant_of_existing,H023,H040;H065,connect_as_variant_without_formal_registry_merge,明示された親仮説の具体的な学習方式・確率表現・最適化・正則化のvariantとして扱う。,not_applied
provisional,false,hypothesis_addendum_sidecar_review_only,H109,特徴分布も学ぶ生成・識別ハイブリッド,new_distinct_hypothesis,,H043;H049;H080,retain_as_unregistered_addendum_candidate,タイトル・要約・親仮説を人手レビューし、既存H001-H033の単純な学習方式指定には還元できない。,not_applied
