status,eligible_for_model_training,purpose,hypothesis_id,title,proposed_readiness_state,readiness_patch_action,feature_map_patch_action,proposed_feature_scope,formal_registry_or_feature_map_action,rationale
provisional,false,hypothesis_addendum_sidecar_review_only,H048,15ペア勝敗→120通り再構成モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H049,確率分布そのものの不確実性モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H050,連続時間・主体別状態空間モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H051,変化点付きレジーム切替状態モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H052,少数履歴から能力分布を作るメタ学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H053,補助教師間の勾配衝突制御,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H054,1着→二連単→三連単の段階学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H055,複数情報ビューの整合学習,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H056,低ランク・テンソル分解型三連単スコアラー,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H057,同一レース内ハードネガティブ対比学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H058,6艇STの相関分布モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H059,場・環境条件で重みを変えるHypernetwork,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H060,場・期間・グレードGroup-Robust学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H061,Dirichlet型の二階確率・証拠モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H062,次走・数走先を予測する自己教師あり学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H063,長期能力と短期状態の分離正則化,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H064,統計モデル＋ニューラル残差モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H065,レースごとの動的アンサンブルゲート,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H066,抽選割当を利用した機材効果分離,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H067,Cross-fitting型・直交化機材効果学習,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H068,交差階層ベイズ統合戦力モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H069,文脈依存能力曲面モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H070,厳密推論可能な確率回路・因子グラフ,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H071,潜在レース生成シミュレーター,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H072,6艇相関・潜在パフォーマンス分布,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H073,6×6位置割当モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H074,Lehmer code・Insertion Vector型順列モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H075,順列Diffusion・Flow Matching,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H076,場・時代を越える不変メカニズム学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H077,選手・機材入替え反実仮想整合学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H078,ベイズノンパラメトリック・レース型モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H079,予測分布Stacking,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H080,欠損特徴の厳密周辺化モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H081,因果グラフ制約付きモジュールモデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H082,複数粒度予測の厳密確率整合・射影,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H083,潜在戦力への形状制約・単調制約,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H084,Neural Additive＋選択的相互作用モデル,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H085,GBDTの階層的縮約,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H086,場・グレード・時期の階層的確率校正,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H087,SWA／SWAGによる重み空間平均,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H088,複数時間窓モデルの同時利用,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H089,証拠量に応じた統計事前分布への縮約,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H090,逐次更新型venue-day潜在状態フィルター,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H091,1マーク物理過程＋ニューラル残差,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H092,観測誤差込み潜在特徴モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H093,現実的な特徴摂動による頑健学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H094,通常モデルensembleからの自己蒸留,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H095,Log Loss＋Brierのproper-score複合学習,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H096,微小ラベル汚染を仮定する頑健尤度,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H097,Cross-fitted逐次logit boosting,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H098,三連単120クラスの出力ラベルグラフ,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H099,三連単の合成ラベル埋め込み・疎符号化,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H100,艇番号置換に同変な構造化校正器,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H101,PAC-Bayes型の事後予測分布,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H102,Sharpness-Awareな確率モデル学習,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H103,R-Drop型120確率整合正則化,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H104,ボートレース構造を保つMixup,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,equipment_identity_and_allocation_provenance,not_applied,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H105,高信頼疑似ラベルによる半教師あり学習,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H106,Marked Temporal Point Process主体状態モデル,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,auxiliary_target_and_outcome_provenance,not_applied,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H107,6艇レース・時系列ハイパーグラフ,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,temporal_point_in_time_provenance,not_applied,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H108,Cross-fitted苦手レース専門家,not_registered_pending_gate1_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H109,特徴分布も学ぶ生成・識別ハイブリッド,not_registered_pending_policy_data_and_formal_experiment_design,proposal_only_not_applied,proposal_only_no_feature_materialized,formal_feature_and_experiment_specification,not_applied,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
