status,eligible_for_model_training,purpose,hypothesis_id,title,data_gap_category,data_gap_patch_action,feature_map_patch_action,readiness_patch_action,additional_collection_required,required_gate,rationale
provisional,false,hypothesis_addendum_sidecar_review_only,H054,1着→二連単→三連単の段階学習,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H055,複数情報ビューの整合学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H056,低ランク・テンソル分解型三連単スコアラー,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H057,同一レース内ハードネガティブ対比学習,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H058,6艇STの相関分布モデル,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H059,場・環境条件で重みを変えるHypernetwork,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H060,場・期間・グレードGroup-Robust学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H061,Dirichlet型の二階確率・証拠モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H062,次走・数走先を予測する自己教師あり学習,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H063,長期能力と短期状態の分離正則化,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H064,統計モデル＋ニューラル残差モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H065,レースごとの動的アンサンブルゲート,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H066,抽選割当を利用した機材効果分離,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H067,Cross-fitting型・直交化機材効果学習,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H068,交差階層ベイズ統合戦力モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H069,文脈依存能力曲面モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H070,厳密推論可能な確率回路・因子グラフ,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H071,潜在レース生成シミュレーター,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H072,6艇相関・潜在パフォーマンス分布,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H073,6×6位置割当モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H074,Lehmer code・Insertion Vector型順列モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H075,順列Diffusion・Flow Matching,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H076,場・時代を越える不変メカニズム学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H077,選手・機材入替え反実仮想整合学習,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H078,ベイズノンパラメトリック・レース型モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H079,予測分布Stacking,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H080,欠損特徴の厳密周辺化モデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H081,因果グラフ制約付きモジュールモデル,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H082,複数粒度予測の厳密確率整合・射影,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H083,潜在戦力への形状制約・単調制約,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H084,Neural Additive＋選択的相互作用モデル,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H085,GBDTの階層的縮約,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H086,場・グレード・時期の階層的確率校正,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H087,SWA／SWAGによる重み空間平均,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H088,複数時間窓モデルの同時利用,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H089,証拠量に応じた統計事前分布への縮約,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H090,逐次更新型venue-day潜在状態フィルター,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H091,1マーク物理過程＋ニューラル残差,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H092,観測誤差込み潜在特徴モデル,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H093,現実的な特徴摂動による頑健学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H094,通常モデルensembleからの自己蒸留,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H095,Log Loss＋Brierのproper-score複合学習,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H096,微小ラベル汚染を仮定する頑健尤度,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H097,Cross-fitted逐次logit boosting,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H098,三連単120クラスの出力ラベルグラフ,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H099,三連単の合成ラベル埋め込み・疎符号化,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H100,艇番号置換に同変な構造化校正器,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H101,PAC-Bayes型の事後予測分布,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H102,Sharpness-Awareな確率モデル学習,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H103,R-Drop型120確率整合正則化,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H104,ボートレース構造を保つMixup,equipment_identity_and_allocation_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,Gate 1で機材世代・割当provenance・適用日付を再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H105,高信頼疑似ラベルによる半教師あり学習,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H106,Marked Temporal Point Process主体状態モデル,auxiliary_target_and_outcome_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,補助target・異常結果・Oracle境界を評価契約どおり再監査するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H107,6艇レース・時系列ハイパーグラフ,temporal_point_in_time_provenance,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,時系列主体ID・same-day・meeting時点規則をGate 1でmaterializeするまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H108,Cross-fitted苦手レース専門家,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
provisional,false,hypothesis_addendum_sidecar_review_only,H109,特徴分布も学ぶ生成・識別ハイブリッド,formal_feature_and_experiment_specification,proposal_only_not_applied,proposal_only_not_applied,proposal_only_not_applied,not_determined_in_addendum,Gate1_then_formal_registration_review,現行featureの利用可否と必要な派生量を正式仕様化するまで未反映。
