status,eligible_for_model_training,purpose,experiment_proposal_id,hypothesis_id,title,overlap_classification,parent_hypothesis_ids,control,treatment,primary_metric_contract,proposal_status,required_gate
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H066,H066,抽選割当を利用した機材効果分離,variant_of_existing,H004;H005;H007,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,通常embedding・公式率との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H067,H067,Cross-fitting型・直交化機材効果学習,variant_of_existing,H066;H004;H005,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,通常joint学習との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H068,H068,交差階層ベイズ統合戦力モデル,variant_of_existing,H001;H004;H005;H008,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,固定効果、ID embeddingとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H072,H072,6艇相関・潜在パフォーマンス分布,variant_of_existing,H058;H027;H011,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,独立効用・直接Softmaxとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H073,H073,6×6位置割当モデル,variant_of_existing,H020;H015,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,120直接、自己回帰との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H079,H079,予測分布Stacking,variant_of_existing,H023,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,単純平均、固定logit平均との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H082,H082,複数粒度予測の厳密確率整合・射影,merge_candidate,H039;H015;H017,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,三連単単独、soft consistencyとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H084,H084,Neural Additive＋選択的相互作用モデル,variant_of_existing,H016;H042,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,CatBoost、大型Transformerとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H086,H086,場・グレード・時期の階層的確率校正,new_distinct_hypothesis,H022;H023,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,global temperature、個別校正との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H087,H087,SWA／SWAGによる重み空間平均,variant_of_existing,H023;H049,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,best checkpoint、Deep Ensembleとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H089,H089,証拠量に応じた統計事前分布への縮約,variant_of_existing,H064;H045;H049,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,固定残差強度との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H094,H094,通常モデルensembleからの自己蒸留,variant_of_existing,H028;H023,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,teacher ensemble、hard-label studentとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H095,H095,Log Loss＋Brierのproper-score複合学習,variant_of_existing,H015,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,Log Loss単独との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H097,H097,Cross-fitted逐次logit boosting,variant_of_existing,H064;H016;H019;H021,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,独立学習平均、単一残差との比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H098,H098,三連単120クラスの出力ラベルグラフ,variant_of_existing,H019;H039;H056,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,ラベルグラフなし共有スコアラーとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H100,H100,艇番号置換に同変な構造化校正器,variant_of_existing,H086;H039,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,global／階層temperature、vector scalingとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H102,H102,Sharpness-Awareな確率モデル学習,variant_of_existing,H087;H019,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,AdamW、SWAとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H103,H103,R-Drop型120確率整合正則化,variant_of_existing,H019;H023,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,通常dropoutとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
provisional,false,hypothesis_addendum_sidecar_review_only,ADD-H108,H108,Cross-fitted苦手レース専門家,variant_of_existing,H040;H065;H023,親仮説または既存baselineのみ。同一as-of feature集合・同一evaluation contractを固定する。,一般MoE、動的ensembleとの比較。,evaluation_contract_v1_1.dev_calibrated_trifecta_log_loss,proposed_not_added_to_core_decision_experiments,Gate1_then_Gate2_design_review
