unresolved_id,evidence_batch_id,venue_code,venue_name,equipment_type,unresolved_period_start,unresolved_period_end,reason_code,current_evidence_level,known_boundary_dates,recommended_official_evidence,suggested_search_terms,priority,generation_id_issued,notes,supporting_partial_evidence_ids
UNRES:EBATCH:06:boat:99be39893377:pre_20251008,EBATCH:06:boat:99be39893377,06,浜名湖,boat,2023-09-01,2025-10-07,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-10-08,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",06 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV009
UNRES:EBATCH:06:motor:f814297a44fc:pre_20260409,EBATCH:06:motor:f814297a44fc,06,浜名湖,motor,2023-09-01,2026-04-08,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-09,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",06 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV008
UNRES:EBATCH:08:boat:a724bab64dd6:pre_20260629,EBATCH:08:boat:a724bab64dd6,08,常滑,boat,2023-09-01,2026-06-28,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-06-29,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",08 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV012
UNRES:EBATCH:08:motor:ef58f45086c9:pre_20251111,EBATCH:08:motor:ef58f45086c9,08,常滑,motor,2023-09-01,2025-11-10,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-11-11,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",08 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV011
UNRES:EBATCH:09:boat:fe78c723dc71:pre_20251222,EBATCH:09:boat:fe78c723dc71,09,津,boat,2023-12-16,2025-12-21,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-12-22,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",09 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV014
UNRES:EBATCH:09:motor:2b2605fc4a34:pre_20251222,EBATCH:09:motor:2b2605fc4a34,09,津,motor,2023-12-16,2025-12-21,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-12-22,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",09 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV013
UNRES:EBATCH:10:boat:8b35898c046d:pre_20260307,EBATCH:10:boat:8b35898c046d,10,三国,boat,2023-09-01,2026-03-06,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-03-07,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",10 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV015
UNRES:EBATCH:10:motor:b7c66cd9769f:pre_20260307,EBATCH:10:motor:b7c66cd9769f,10,三国,motor,2023-09-01,2026-03-06,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-03-07,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",10 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV015
UNRES:EBATCH:11:boat:f1cec0ab6f72:pre_20260408,EBATCH:11:boat:f1cec0ab6f72,11,びわこ,boat,2023-09-03,2026-04-07,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-08,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",11 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV016
UNRES:EBATCH:11:motor:28395480d127:pre_20260408,EBATCH:11:motor:28395480d127,11,びわこ,motor,2023-09-03,2026-04-07,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-08,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",11 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV016
UNRES:EBATCH:12:boat:6c2a3a5379c7:pre_20260323,EBATCH:12:boat:6c2a3a5379c7,12,住之江,boat,2023-09-03,2026-03-22,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-03-23,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",12 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV018
UNRES:EBATCH:12:motor:d70b31025705:pre_20260323,EBATCH:12:motor:d70b31025705,12,住之江,motor,2023-09-03,2026-03-22,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-03-23,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",12 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV017
UNRES:EBATCH:13:boat:42621e2fe40d:pre_20260417,EBATCH:13:boat:42621e2fe40d,13,尼崎,boat,2023-09-01,2026-04-16,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-17,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",13 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV020
UNRES:EBATCH:13:motor:d240f24e683e:pre_20260417,EBATCH:13:motor:d240f24e683e,13,尼崎,motor,2023-09-01,2026-04-16,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-17,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",13 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV019
UNRES:EBATCH:14:boat:0af68bcf49fb:pre_20260411,EBATCH:14:boat:0af68bcf49fb,14,鳴門,boat,2023-09-03,2026-04-10,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-11,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",14 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV022
UNRES:EBATCH:14:motor:8c70a52707a0:pre_20260411,EBATCH:14:motor:8c70a52707a0,14,鳴門,motor,2023-09-03,2026-04-10,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-11,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",14 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV021
UNRES:EBATCH:15:boat:c03bca866a39:pre_20260709,EBATCH:15:boat:c03bca866a39,15,丸亀,boat,2023-09-25,2026-07-08,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-07-09,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",15 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV024
UNRES:EBATCH:15:motor:a33d71edc25a:pre_20250903,EBATCH:15:motor:a33d71edc25a,15,丸亀,motor,2023-09-25,2025-09-02,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-09-03,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",15 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV023
UNRES:EBATCH:16:boat:f682d842f4c2:pre_20251217,EBATCH:16:boat:f682d842f4c2,16,児島,boat,2023-09-01,2025-12-16,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-12-17,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",16 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV025
UNRES:EBATCH:16:motor:02400f103ec9:pre_20251217,EBATCH:16:motor:02400f103ec9,16,児島,motor,2023-09-01,2025-12-16,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-12-17,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",16 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV025
UNRES:EBATCH:17:boat:9681773850c1:pre_20241020,EBATCH:17:boat:9681773850c1,17,宮島,boat,2023-09-03,2024-10-19,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2024-10-20;2025-10-19,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",17 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV026;EV043
UNRES:EBATCH:17:motor:27ed24fcff06:pre_20241020,EBATCH:17:motor:27ed24fcff06,17,宮島,motor,2023-09-03,2024-10-19,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2024-10-20;2025-10-19,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",17 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV026;EV043
UNRES:EBATCH:18:boat:05fc72644e85:pre_20251104,EBATCH:18:boat:05fc72644e85,18,徳山,boat,2023-09-01,2025-11-03,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-11-04,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",18 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV028
UNRES:EBATCH:18:motor:8e767b3a1c95:pre_20260420,EBATCH:18:motor:8e767b3a1c95,18,徳山,motor,2023-09-01,2026-04-19,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-20,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",18 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV027
UNRES:EBATCH:19:boat:db8900ddf085:pre_20260429,EBATCH:19:boat:db8900ddf085,19,下関,boat,2023-09-01,2026-04-28,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-29,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",19 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV030
UNRES:EBATCH:19:motor:541b3494cd16:pre_20260429,EBATCH:19:motor:541b3494cd16,19,下関,motor,2023-09-01,2026-04-28,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-29,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",19 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV029
UNRES:EBATCH:20:boat:7bf6fc12ca7e:pre_20260611,EBATCH:20:boat:7bf6fc12ca7e,20,若松,boat,2023-09-01,2026-06-10,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-06-11,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",20 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV032
UNRES:EBATCH:20:motor:a8f76e35a50b:pre_20251126,EBATCH:20:motor:a8f76e35a50b,20,若松,motor,2023-09-01,2025-11-25,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-11-26,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",20 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV031
UNRES:EBATCH:21:boat:40fafd94d0e0:pre_20260416,EBATCH:21:boat:40fafd94d0e0,21,芦屋,boat,2023-09-07,2026-04-15,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-16,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",21 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV034
UNRES:EBATCH:21:motor:6579257cb563:pre_20260416,EBATCH:21:motor:6579257cb563,21,芦屋,motor,2023-09-07,2026-04-15,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-04-16,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",21 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV033
UNRES:EBATCH:22:boat:a0c2dfae3003:pre_20260218,EBATCH:22:boat:a0c2dfae3003,22,福岡,boat,2023-09-01,2026-02-17,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-02-18,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",22 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV035
UNRES:EBATCH:22:motor:9ea47ee47eca:pre_20260218,EBATCH:22:motor:9ea47ee47eca,22,福岡,motor,2023-09-01,2026-02-17,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-02-18,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",22 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV035
UNRES:EBATCH:23:boat:98cf8cfbc0fd:pre_20260317,EBATCH:23:boat:98cf8cfbc0fd,23,唐津,boat,2023-09-01,2026-03-16,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-03-17,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",23 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV037
UNRES:EBATCH:23:motor:0c2bc574b866:pre_20250905,EBATCH:23:motor:0c2bc574b866,23,唐津,motor,2023-09-01,2025-09-04,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2025-09-05,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",23 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV036
UNRES:EBATCH:24:boat:7bbf9ec928d9:pre_20260524,EBATCH:24:boat:7bbf9ec928d9,24,大村,boat,2023-09-01,2026-05-23,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-05-24,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",24 boat 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV038
UNRES:EBATCH:24:motor:2380d2b68852:pre_20260524,EBATCH:24:motor:2380d2b68852,24,大村,motor,2023-09-01,2026-05-23,historical_generation_start_not_yet_supported_by_A_or_B,D_for_unresolved_segment,2026-05-24,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",24 motor 新モーター 新ボート 使用開始 過去 使用開始日,P0,false,Current and/or later generations are supported; only the listed earlier segment remains unresolved.,EV038;EV039
