data_item,hypothesis_ids,current_location,current_field,availability_class,point_in_time_requirement,historical_coverage,venue_coverage,recoverability,additional_collection_required,blocks_core_research,priority,recommended_action,evidence,unresolved_question
venue_season_exhibition_norm,H012;H013,v0.1 boat_features + prior eligible races,exhibition_time;venue_code;race_date,B,fit normalization on strictly prior races only,"144,961 prediction-eligible races",24 venues,recoverable,no,no,P0,define expanding/prior-window transform at Gate 1,exhibition_time is prediction-time official beforeinfo,minimum prior sample and cold-start fallback?
venue_day_state,H013;H022,v0.1 features + same-day prior official observations,weather;exhibition;venue_code;race_date;race_no,B,only target cutoff-visible observations,same-day sequence exists across 24 venues,24 venues,recoverable with event-time policy,no,no,P1,use program/beforeinfo state; exclude unproven prior result joins,race_no and beforeinfo fields exist,whether result-derived day state is available before each cutoff
long_short_dynamic_history,H001;H002;H003;H006;H008;H021,complete corpus + raw program,racer_id;race_date;prior targets/program attributes,B,all windows end before target race cutoff/date,2023-09-01..2026-07-18,24 venues,recoverable with cold-start handling,no,no,P0,materialize provenance: source max event time and row counts,"racer_id populated on 892,512 program entries",minimum history before first available date
relative_and_pairwise_features,H009;H010;H019,future derivation from one target race,six lane rows,B,same target-race feature rows only,"144,961 eligible six-boat races",24 venues,fully recoverable,no,no,P0,derive after imputation with explicit direction/sign,v0.1 boat table grain is six rows per race,which scale and missingness indicators are fixed at Gate 1?
full_order_labels,H020;H029,v0.1 auxiliary_targets,actual_finish lanes 1..6,A,target only,unique_order population plus separately flagged abnormalities,24 venues,already available with status filtering,no,no,P1,train only on contract-compatible status; marginalize to 120 Top-3,actual_finish is retained as auxiliary target,policy for abnormal 4-6 codes in full-order likelihood
actual_course_st_oracle_labels,H024;H025;H026;H027,v0.1 auxiliary_targets,actual_course;actual_start_timing,A,oracle/target only; never inference input,"869,766 lane target rows",24 venues,already available,no,no,P0,run only after Gate 1 as explicitly labeled Oracle diagnostics,evaluation v1.1 lists both as auxiliary_target_only,missingness policy to freeze at Gate 1
original_exhibition_metrics,H012;H032,planned results/noodds_raw_v200/original_exhibition_v210/omura.csv,lap_time;turn_time;straight_time,D,captured before target close with source timestamp,0 rows in repository,collector code targets venue 24 only,not available without new collection,yes,no,P2,defer; do not collect in Gate 0,collector script exists but output artifact is absent,"licensing, stability and expansion to 23 other venues"
official_text_corpus,H030,raw official HTML (unstructured),pre-race text fields beyond frozen title/subtitle,C,page snapshot must precede target cutoff,HTML exists for beforeinfo scope; extraction not audited,24 venues in corpus,possibly recoverable from raw HTML,no,no,P2,inventory only after core data is frozen,title/subtitle already structured; richer text unverified,which official text is stable and point-in-time?
exhibition_video,H031,not present,video frames or embeddings,E,capture and hash before target close,0,0,not recoverable locally,yes,no,P3,defer until core structured research completes,no local video artifact,"rights, retention, venue coverage and compute budget"
equipment_allocation_source_regime,H004;H033,no verified local primary-source document,effective_date;venue;allocation_rule_version,D,effective-date provenance before using regime feature,unknown for asserted 2026 change,unknown,requires authoritative documentation,yes,yes for H033; H004 needs boundaries regardless,P0,obtain and archive primary rule notice after this task,local schema has no regime field and no verified source,"did a rule change occur, when, and for which equipment/venues?"
