research_feature_id,feature_name,feature_table_or_scope,current_or_future,source_location,source_field,availability_class,point_in_time_rule,calculation_window,calculation_cutoff,proposed_availability_status,inference_allowed,hypothesis_ids,notes
RF_V01_RACE_FEATURES_TITLE,title,race_features,current_v0_1,raw programs JSON / programs[],title,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACE_KEY,race_key,boat_features,current_v0_1,derived identity from official program natural key,race_key,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_LANE,lane,boat_features,current_v0_1,derived identity from official program natural key,lane,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACE_DATE,race_date,boat_features,current_v0_1,derived identity from official program natural key,race_date,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_VENUE_CODE,venue_code,boat_features,current_v0_1,derived identity from official program natural key,venue_code,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACE_NO,race_no,boat_features,current_v0_1,derived identity from official program natural key,race_no,A,officially available after beforeinfo acquisition and before closed_at,none,target race program publication,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACER_ID,racer_id,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_number,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACER_NAME,racer_name,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_name,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACER_AGE,racer_age,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_age,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACER_BRANCH_NUMBER,racer_branch_number,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_branch_number,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_RACER_CLASS_NUMBER,racer_class_number,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_class_number,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_AVERAGE_START_TIMING,average_start_timing,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_average_start_timing,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_NATIONAL_TOP_1_PERCENT,national_top_1_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_national_top_1_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=全国成績: 開催初日の月を含む過去6か月、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_NATIONAL_TOP_2_PERCENT,national_top_2_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_national_top_2_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=全国成績: 開催初日の月を含む過去6か月、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_NATIONAL_TOP_3_PERCENT,national_top_3_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_national_top_3_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=全国成績: 開催初日の月を含む過去6か月、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_LOCAL_TOP_1_PERCENT,local_top_1_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_local_top_1_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=当地成績: 規定の過去期間から前検日前日まで,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_LOCAL_TOP_2_PERCENT,local_top_2_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_local_top_2_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=当地成績: 規定の過去期間から前検日前日まで,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_LOCAL_TOP_3_PERCENT,local_top_3_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_local_top_3_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=当地成績: 規定の過去期間から前検日前日まで,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_MOTOR_NO,motor_no,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_assigned_motor_number,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_MOTOR_TOP_2_PERCENT,motor_top_2_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_assigned_motor_top_2_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=モーター成績: 使用開始から最大1年、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_MOTOR_TOP_3_PERCENT,motor_top_3_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_assigned_motor_top_3_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=モーター成績: 使用開始から最大1年、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_BOAT_NO,boat_no,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_assigned_boat_number,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_BOAT_TOP_2_PERCENT,boat_top_2_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_assigned_boat_top_2_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=ボート成績: 使用開始から最大1年、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_BOAT_TOP_3_PERCENT,boat_top_3_percent,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_assigned_boat_top_3_percent,A,officially available after beforeinfo acquisition and before closed_at,provider-published aggregate; upstream window not in raw schema; proposed official definition=ボート成績: 使用開始から最大1年、今節を含まない,value frozen in target-race program snapshot,proposal_only: indeterminate_upstream_window -> official_window_documented after primary provenance attachment,true,,The builder performs no post-race rolling calculation or result join. The provider's internal aggregation window cannot be independently audited. Mapping to raw source_field is confirmed; official window is not independently recomputable from the raw value.
RF_V01_BOAT_FEATURES_PROGRAM_WEIGHT,program_weight,boat_features,current_v0_1,raw programs JSON / programs[].boats[],racer_weight,A,officially available after beforeinfo acquisition and before closed_at,current target-race program value,target race program publication before closed_at,no_change,true,,No result table is joined.
RF_V01_BOAT_FEATURES_BODY_WEIGHT,body_weight,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,body_weight_kg,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_WEIGHT_ADJUSTMENT,weight_adjustment,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,adjust_weight_kg,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_EXHIBITION_COURSE,exhibition_course,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,start_display_course,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_EXHIBITION_START_TIMING,exhibition_start_timing,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,start_display_st_text,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_EXHIBITION_TIME,exhibition_time,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,exhibition_time,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_TILT,tilt,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,tilt,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_PROPELLER_NEW,propeller_new,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,propeller_new,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_PROPELLER_STATUS,propeller_status,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,propeller_text,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_V01_BOAT_FEATURES_PARTS_EXCHANGE_STATUS,parts_exchange_status,boat_features,current_v0_1,official raw_html beforeinfo / parsed lane fields,parts_exchange_text,A,officially available after beforeinfo acquisition and before closed_at,current-race exhibition/last-minute observation,beforeinfo available and strictly before closed_at,no_change,true,,Content is pre-deadline by definition; historical retrieval timestamp may be later than the race and is not used as the semantic observed_at.
RF_CURRENT_V01_49,current_v0_1_feature_set_49,race_features(16)+boat_features(33),current_v0_1_group,results/boatrace_model_research/snapshots/research_v0_1_148956_b69fb714835e,exact columns listed by dataset contract v1,A,official target-race program/beforeinfo before closed_at,field-specific; see 49 current rows,evaluation v1.1 prediction cutoff,no_change,true,H011;H015;H016;H017;H018;H020;H026;H029,Logical research group; not an additional snapshot column.
RF_RACER_LONG,racer_long_term_strength,future_research_feature,future_as_of,racer history,not materialized in v0.1,B,strictly prior races,expanding/prior window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H001,Design record only; no feature was built in this task.
RF_RACER_SHORT,racer_short_form,future_research_feature,future_as_of,racer history,not materialized in v0.1,B,strictly prior races,candidate windows pre-registered at Gate 1,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H002,Design record only; no feature was built in this task.
RF_RACER_MULTI,racer_multidimensional_strength,future_research_feature,future_as_of,racer history,not materialized in v0.1,B,strictly prior races,dimension-specific prior histories,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H003,Design record only; no feature was built in this task.
RF_MOTOR_GENERATION,motor_generation_id,future_research_feature,future_as_of,official generation registry,not materialized in v0.1,D,effective date <= race date,venue+motor+use-start/boundary,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H004,Design record only; no feature was built in this task.
RF_BOAT_GENERATION,boat_generation_id,future_research_feature,future_as_of,official generation registry,not materialized in v0.1,D,effective date <= race date,venue+boat+use-start/boundary,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H004,Design record only; no feature was built in this task.
RF_EQUIPMENT_BASE,equipment_base_strength,future_research_feature,future_as_of,program aggregates/prior history,not materialized in v0.1,B,exclude current meeting,motor/boat official window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H005,Design record only; no feature was built in this task.
RF_EQUIPMENT_MEETING_STATE,equipment_current_meeting_state,future_research_feature,future_as_of,prior meeting observations,not materialized in v0.1,B,event time < target cutoff,current meeting only,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H005;H021,Design record only; no feature was built in this task.
RF_ADJUSTMENT_SKILL,racer_adjustment_skill,future_research_feature,future_as_of,prior exhibition/result pairs,not materialized in v0.1,B,strictly prior races,expanding/prior window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H006,Design record only; no feature was built in this task.
RF_RACER_MOTOR,racer_motor_interaction,future_research_feature,future_as_of,prior racer-equipment history,not materialized in v0.1,B,strictly prior and generation-safe,expanding/prior window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H007,Design record only; no feature was built in this task.
RF_RACER_VENUE,racer_venue_interaction,future_research_feature,future_as_of,prior racer venue history,not materialized in v0.1,B,strictly prior races,expanding/prior window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H008,Design record only; no feature was built in this task.
RF_RACER_COURSE,racer_course_interaction,future_research_feature,future_as_of,prior racer actual-course targets,not materialized in v0.1,B,strictly prior targets only,expanding/prior window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H008,Design record only; no feature was built in this task.
RF_RELATIVE_SIX,within_race_relative_features,future_research_feature,future_as_of,target-race six rows,not materialized in v0.1,B,same cutoff-visible race only,six-boat rank/difference,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H009,Design record only; no feature was built in this task.
RF_PAIRWISE,pairwise_boat_relations,future_research_feature,future_as_of,target-race six rows,not materialized in v0.1,B,same cutoff-visible race only,ordered lane pairs,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H010;H019,Design record only; no feature was built in this task.
RF_EXHIBITION_STANDARDIZED,venue_season_exhibition_z,future_research_feature,future_as_of,prior exhibition values,not materialized in v0.1,B,normalizer fit on prior races,venue-season prior window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H012,Design record only; no feature was built in this task.
RF_VENUE_DAY,venue_day_state,future_research_feature,future_as_of,same-day prior official observations,not materialized in v0.1,B,observation time < target cutoff,venue/date expanding,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H013,Design record only; no feature was built in this task.
RF_MEETING,meeting_id_and_day,future_research_feature,future_as_of,raw program title/day_label,not materialized in v0.1,B,target/prior programs,episode derivation,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H014,Design record only; no feature was built in this task.
RF_SAME_DAY,same_day_run_state,future_research_feature,future_as_of,program schedule/target beforeinfo prev_*,not materialized in v0.1,B,schedule or embedded target beforeinfo only,target date,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H014,Design record only; no feature was built in this task.
RF_RACER_DYNAMIC,dynamic_racer_state,future_research_feature,future_as_of,prior chronological racer history,not materialized in v0.1,B,state update strictly before target,state-space history,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H021,Design record only; no feature was built in this task.
RF_VENUE_GRADE_GATE,venue_grade_gate,future_research_feature,future_as_of,venue_code/grade_number,not materialized in v0.1,B,target program,no rolling window,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H022,Design record only; no feature was built in this task.
RF_MODEL_PROBABILITIES,component_model_probabilities,future_research_feature,future_as_of,Gate 4 frozen challengers,not materialized in v0.1,A,out-of-fold or future-fold only,model artifact,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H023,Design record only; no feature was built in this task.
RF_ORACLE_ACTUAL_COURSE,actual_course_oracle,future_research_feature,oracle_only,auxiliary_targets.actual_course,not materialized in v0.1,A,diagnostic target-only,post-race,strictly before target cutoff unless oracle-only,new_feature_proposal,false,H024,Design record only; no feature was built in this task.
RF_ORACLE_ACTUAL_ST,actual_start_timing_oracle,future_research_feature,oracle_only,auxiliary_targets.actual_start_timing,not materialized in v0.1,A,diagnostic target-only,post-race,strictly before target cutoff unless oracle-only,new_feature_proposal,false,H025,Design record only; no feature was built in this task.
RF_LATENT_COURSE_ST,latent_course_st_distribution,future_research_feature,future_as_of,prediction-time covariates,not materialized in v0.1,B,no actual course/ST input,learned distribution,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H027,Design record only; no feature was built in this task.
RF_TEACHER_PROBABILITIES,teacher_probabilities,future_research_feature,future_as_of,Gate 4 teacher outputs,not materialized in v0.1,A,out-of-fold training predictions,model artifact,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H028,Design record only; no feature was built in this task.
RF_OFFICIAL_TEXT,official_pre_race_text,future_research_feature,future_as_of,raw official HTML,not materialized in v0.1,C,snapshot before closed_at,target page only,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H030,Design record only; no feature was built in this task.
RF_EXHIBITION_VIDEO,exhibition_video_embedding,future_research_feature,future_as_of,not present,not materialized in v0.1,E,capture before closed_at,target exhibition,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H031,Design record only; no feature was built in this task.
RF_ORIGINAL_EXHIBITION,original_exhibition_metrics,future_research_feature,future_as_of,planned Omura collector output,not materialized in v0.1,D,capture before closed_at,target exhibition,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H032,Design record only; no feature was built in this task.
RF_SOURCE_REGIME,equipment_allocation_source_regime,future_research_feature,future_as_of,missing official rule record,not materialized in v0.1,D,effective date <= race date,regime episode,strictly before target cutoff unless oracle-only,new_feature_proposal,true,H033,Design record only; no feature was built in this task.
