status,eligible_for_model_training,purpose,evidence_batch_id,venue_code,equipment_type,candidate_period_start,candidate_period_end,equipment_key_count,affected_race_count,affected_boat_row_count,first_observed_date,last_observed_date,reset_signal_count,large_gap_signal_count,potential_generation_count,blocked_hypothesis_ids,expected_research_impact,recommended_official_evidence,suggested_search_terms,priority,current_evidence_level,generation_id_issued
provisional,false,policy_execution_validation,EBATCH:08:motor:ef58f45086c9,08,motor,2023-09-01,2026-07-18,62,6600,39600,2023-09-01,2026-07-18,82,68,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,08 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:09:boat:fe78c723dc71,09,boat,2023-12-16,2026-07-18,65,5940,35640,2023-12-16,2026-07-18,89,162,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,09 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:09:motor:2b2605fc4a34,09,motor,2023-12-16,2026-07-18,65,5940,35640,2023-12-16,2026-07-18,85,163,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,09 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:10:boat:8b35898c046d,10,boat,2023-09-01,2026-07-18,64,6204,36864,2023-09-01,2026-07-18,120,79,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,10 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:10:motor:b7c66cd9769f,10,motor,2023-09-01,2026-07-18,64,6204,36864,2023-09-01,2026-07-18,116,89,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,10 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:11:boat:f1cec0ab6f72,11,boat,2023-09-03,2026-07-18,62,5940,35640,2023-09-03,2026-07-18,186,133,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,11 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:11:motor:28395480d127,11,motor,2023-09-03,2026-07-18,62,5940,35640,2023-09-03,2026-07-18,186,152,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,11 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:12:boat:6c2a3a5379c7,12,boat,2023-09-03,2026-07-18,76,6336,38016,2023-09-03,2026-07-18,207,112,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,12 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:12:motor:d70b31025705,12,motor,2023-09-03,2026-07-18,71,6336,38016,2023-09-03,2026-07-18,186,102,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,12 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:13:boat:42621e2fe40d,13,boat,2023-09-01,2026-07-18,65,5952,35568,2023-09-01,2026-07-18,177,156,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,13 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:13:motor:d240f24e683e,13,motor,2023-09-01,2026-07-18,63,5952,35568,2023-09-01,2026-07-18,163,149,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,13 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:14:boat:0af68bcf49fb,14,boat,2023-09-03,2026-07-13,65,5808,34848,2023-09-03,2026-07-13,190,106,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,14 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:14:motor:8c70a52707a0,14,motor,2023-09-03,2026-07-13,65,5808,34848,2023-09-03,2026-07-13,187,115,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,14 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:15:boat:c03bca866a39,15,boat,2023-09-25,2026-07-14,65,6612,39672,2023-09-25,2026-07-14,144,76,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,15 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:15:motor:a33d71edc25a,15,motor,2023-09-25,2026-07-14,65,6612,39672,2023-09-25,2026-07-14,72,76,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,15 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:16:boat:f682d842f4c2,16,boat,2023-09-01,2026-07-18,65,6084,36504,2023-09-01,2026-07-18,192,195,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,16 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:16:motor:02400f103ec9,16,motor,2023-09-01,2026-07-18,62,6084,36504,2023-09-01,2026-07-18,177,180,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,16 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:17:boat:9681773850c1,17,boat,2023-09-03,2026-07-18,71,6516,39096,2023-09-03,2026-07-18,150,89,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,17 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:17:motor:27ed24fcff06,17,motor,2023-09-03,2026-07-18,68,6516,39096,2023-09-03,2026-07-18,142,68,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,17 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:18:boat:05fc72644e85,18,boat,2023-09-01,2026-07-18,67,6072,36432,2023-09-01,2026-07-18,134,136,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,18 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:18:motor:8e767b3a1c95,18,motor,2023-09-01,2026-07-18,65,6072,36432,2023-09-01,2026-07-18,170,147,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,18 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:19:boat:db8900ddf085,19,boat,2023-09-01,2026-07-13,65,6024,36144,2023-09-01,2026-07-13,181,107,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,19 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:19:motor:541b3494cd16,19,motor,2023-09-01,2026-07-13,65,6024,36144,2023-09-01,2026-07-13,183,95,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,19 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:20:boat:7bf6fc12ca7e,20,boat,2023-09-01,2026-07-18,65,6312,37800,2023-09-01,2026-07-18,108,78,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,20 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:20:motor:a8f76e35a50b,20,motor,2023-09-01,2026-07-18,62,6312,37800,2023-09-01,2026-07-18,136,71,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,20 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:21:boat:40fafd94d0e0,21,boat,2023-09-07,2026-07-18,125,6252,37512,2023-09-07,2026-07-18,89,68,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,21 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:21:motor:6579257cb563,21,motor,2023-09-07,2026-07-18,65,6252,37512,2023-09-07,2026-07-18,102,81,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,21 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:22:boat:a0c2dfae3003,22,boat,2023-09-01,2026-07-15,74,6048,36288,2023-09-01,2026-07-15,222,118,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,22 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:22:motor:9ea47ee47eca,22,motor,2023-09-01,2026-07-15,65,6048,36288,2023-09-01,2026-07-15,195,113,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,22 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:23:boat:98cf8cfbc0fd,23,boat,2023-09-01,2026-07-15,90,6132,36792,2023-09-01,2026-07-15,73,123,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,23 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:23:motor:0c2bc574b866,23,motor,2023-09-01,2026-07-15,70,6132,36792,2023-09-01,2026-07-15,43,128,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,23 motor 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:24:boat:7bbf9ec928d9,24,boat,2023-09-01,2026-07-17,75,6624,39744,2023-09-01,2026-07-17,166,107,unknown_not_issued,H004;H005;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,24 boat 新モーター 新ボート 使用開始,P0,D,false
provisional,false,policy_execution_validation,EBATCH:24:motor:2380d2b68852,24,motor,2023-09-01,2026-07-17,70,6624,39744,2023-09-01,2026-07-17,132,110,unknown_not_issued,H004;H005;H007;H021;H033,Unblocks only after official A/B evidence confirms a boundary; no current feature is enabled.,Official equipment replacement/introduction notice or official page with equipment use-start date.,24 motor 新モーター 新ボート 使用開始,P0,D,false
