status,eligible_for_model_training,purpose,hypothesis_id,family,tier,title,readiness_state,blocker_ids,prerequisite_hypotheses,data_availability_class,execution_conditions,earliest_gate,current_fixture_support,primary_metric_contract,unresolved
provisional,false,policy_execution_validation,H011,relational,core_decision,Set Attentionによる6艇表現,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H009,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H012,exhibition,core_decision,場・時期別展示標準化,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H013,context_state,core_decision,venue-day状態,ready_after_meeting_materialization,B003;B004;B008,H012,B,materialize and audit meeting/same-day temporal tables; finish Gate 1,Gate2_after_meeting_materialization,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H014,context_state,core_decision,meeting・同日状態,ready_after_meeting_materialization,B003;B004;B008,,B,materialize and audit meeting/same-day temporal tables; finish Gate 1,Gate2_after_meeting_materialization,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H015,output_factorization,core_decision,120直接Softmax,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H016,model_family,core_decision,表形式ニューラル対CatBoost,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H017,output_factorization,core_decision,自己回帰Top-3,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H018,output_factorization,core_decision,Plackett–Luce順位分解,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H019,output_factorization,core_decision,共有トリプルスコアラー,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H010;H015,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H020,output_factorization,core_decision,完全順位からTop-3周辺化,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H021,dynamic_model,core_decision,履歴系列・動的能力モデル,blocked_by_equipment_generation,B001;B002;B008,H001;H005,B,accept official A/B equipment boundaries; finish Gate 1 snapshot,Gate2_after_equipment_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H022,gating,core_decision,場別・グレード別gating,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H023,ensemble,core_decision,異種モデル確率アンサンブル,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015;H017;H019,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H024,oracle,core_decision,本番進入Oracle,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,diagnostic_only
provisional,false,policy_execution_validation,H025,oracle,core_decision,本番ST Oracle,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,diagnostic_only
provisional,false,policy_execution_validation,H026,auxiliary_learning,conditional,進入・ST補助学習,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H024;H025,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H027,latent_process,conditional,進入・ST潜在過程モデル,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H024;H025;H026,B,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H028,distillation,conditional,知識蒸留,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H016;H019;H021,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H029,auxiliary_learning,conditional,決まり手・異常状態・4～6着補助,ready_after_final_snapshot,B008;GATE1_FINAL_SNAPSHOT_REQUIRED,H015,A,candidate corpus >200k; final snapshot and outcome/target/feature audit pass,Gate2,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H030,late_unstructured,exploratory,公式テキストNLP,late_stage_optional,B011;B008,H015,C,complete structured core research before unstructured text extraction,Gate4_or_later,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H031,late_unstructured,exploratory,展示映像表現,blocked_by_external_data,B010;B008,H012,E,obtain and audit the hypothesis-specific external evidence/data after authorization,late_or_after_external_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,planned
provisional,false,policy_execution_validation,H032,late_unstructured,exploratory,オリジナル展示計時,blocked_by_external_data,B009;B008,H012,D,obtain and audit the hypothesis-specific external evidence/data after authorization,late_or_after_external_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,blocked_new_acquisition
provisional,false,policy_execution_validation,H033,source_regime,exploratory,2026年機材割当source regime,blocked_by_external_data,B007;B001;B002;B008,H004,D,obtain and audit the hypothesis-specific external evidence/data after authorization,late_or_after_external_resolution,policy rehearsal only; no model experiment executed,boatrace_model_evaluation_v1_1.metrics.trifecta_log_loss,blocked_documentation
